chebi_uri	type	count
http://purl.obolibrary.org/obo/CHEBI_16938	6-Phospho-D-glucono-1,5-lactone	chemical	9
http://purl.obolibrary.org/obo/CHEBI_64039	(2S) Pristanoyl-CoA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_6532	LPAM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16978	LTC4	chemical	5
http://purl.obolibrary.org/obo/CHEBI_16995	OX	chemical	1
http://purl.obolibrary.org/obo/CHEBI_138202	MCTR1	chemical	4
http://purl.obolibrary.org/obo/CHEBI_17408	MAG	chemical	4
http://purl.obolibrary.org/obo/CHEBI_52639	Ceramide	chemical	2
http://purl.obolibrary.org/obo/CHEBI_53020	glycan G10599	chemical	2
http://purl.obolibrary.org/obo/CHEBI_63517	ChEBI:63517 chain	chemical	3
http://purl.obolibrary.org/obo/CHEBI_17170	DMA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63542	ETA-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16134	NH3	chemical	45
http://purl.obolibrary.org/obo/CHEBI_16469	EST17b	chemical	8
http://purl.obolibrary.org/obo/CHEBI_28911	Cbl	chemical	18
http://purl.obolibrary.org/obo/CHEBI_61168	Mycobactin	chemical	4
http://purl.obolibrary.org/obo/CHEBI_63803	trans-2,3-dehydropristanoyl-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_83782	20OH-TrXA3	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16958	b-Ala	chemical	5
http://purl.obolibrary.org/obo/CHEBI_15761	MP+	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16027	AMP	chemical	170
http://purl.obolibrary.org/obo/CHEBI_48775	Cd2+	chemical	11
http://purl.obolibrary.org/obo/CHEBI_30616	ATP	chemical	15
http://purl.obolibrary.org/obo/CHEBI_27999	TBM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17568	Ura	chemical	12
http://purl.obolibrary.org/obo/CHEBI_17066	bHBA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_49537	c-di-GMP	chemical	1
http://purl.obolibrary.org/obo/CHEBI_18090	3APAL	chemical	2
http://purl.obolibrary.org/obo/CHEBI_27983	FapyA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_16990	BIL	chemical	10
http://purl.obolibrary.org/obo/CHEBI_52050	(24R, 25R) 3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_15488	bMC-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_15844	I(3,4,5,6)P4	chemical	5
http://purl.obolibrary.org/obo/CHEBI_136113	17(S)-Hp-DHA	chemical	7
http://purl.obolibrary.org/obo/CHEBI_63833	5bCHOL3a,7a,24(s),27-tetrol	chemical	2
http://purl.obolibrary.org/obo/CHEBI_28497	bGalNAc	chemical	1
http://purl.obolibrary.org/obo/CHEBI_140238	17-oxo-DHA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_18327	NF-Glu	chemical	2
http://purl.obolibrary.org/obo/CHEBI_75627	ARACOH	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17750	BET	chemical	6
http://purl.obolibrary.org/obo/CHEBI_16410	PXA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_9534	ThTP	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17118	Gal	chemical	3
http://purl.obolibrary.org/obo/CHEBI_16005	methylarsonate	chemical	2
http://purl.obolibrary.org/obo/CHEBI_63843	pregn-5-ene-3,20-dione-17-ol	chemical	4
http://purl.obolibrary.org/obo/CHEBI_9532	TPP	chemical	5
http://purl.obolibrary.org/obo/CHEBI_138646	7S(8)-epoxy-17(S)-HDHA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_35421	lithocholate sulfate	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16235	Gua	chemical	6
http://purl.obolibrary.org/obo/CHEBI_17326	NTP	chemical	4
http://purl.obolibrary.org/obo/CHEBI_63912	19OH-PGH2	chemical	1
http://purl.obolibrary.org/obo/CHEBI_59637	MSNO	chemical	1
http://purl.obolibrary.org/obo/CHEBI_91124	Xyl-GlcA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15375	BH2	chemical	8
http://purl.obolibrary.org/obo/CHEBI_50775	DHDB	chemical	3
http://purl.obolibrary.org/obo/CHEBI_60651	(GlcNAc)4 (Man)3 (Asn)1	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63824	TetraHCA	chemical	5
http://purl.obolibrary.org/obo/CHEBI_58359	L-Gln	chemical	33
http://purl.obolibrary.org/obo/CHEBI_16225	S-FGSH	chemical	2
http://purl.obolibrary.org/obo/CHEBI_47013	D-ribose	chemical	1
http://purl.obolibrary.org/obo/CHEBI_14597	methylarsonite	chemical	2
http://purl.obolibrary.org/obo/CHEBI_63809	Heparan sulfate chain(6)	chemical	3
http://purl.obolibrary.org/obo/CHEBI_18009	TPN	chemical	364
http://purl.obolibrary.org/obo/CHEBI_61560	dNTP(4-)	chemical	2
http://purl.obolibrary.org/obo/CHEBI_78030	LGK974	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15467	HMG CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16608	ZYMSTNL	chemical	3
http://purl.obolibrary.org/obo/CHEBI_63829	5beta-cholestan-7alpha,24(S)-diol-3-one	chemical	2
http://purl.obolibrary.org/obo/CHEBI_64024	GlcA-?1,3-GlcNAc	chemical	3
http://purl.obolibrary.org/obo/CHEBI_15508	GLA-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_37946	DAOS	chemical	2
