reaction.stId,control_event.dbId,active_unit.stId
R-HSA-6799409,6799405,R-HSA-6799375
R-HSA-3222020,3222019,R-HSA-3222011
R-HSA-3222006,6805033,R-HSA-164119
R-HSA-6805059,6805058,R-HSA-6805066
R-HSA-6805399,6805394,R-HSA-65539
R-HSA-5686642,5686641,R-HSA-5686589
R-HSA-5686410,5686391,R-HSA-5685972
R-HSA-5693533,175587,R-HSA-5687176
R-HSA-5687183,5687177,R-HSA-76302
R-HSA-5686704,5686918,R-HSA-5693527
R-HSA-5687360,5687358,R-HSA-5687355
R-HSA-5693604,5687220,R-HSA-53791
R-HSA-5687653,5687652,R-HSA-5649884
R-HSA-5687640,5687641,R-HSA-5687515
R-HSA-5687464,5687463,R-HSA-59544
R-HSA-5687464,5687463,R-HSA-5684097
R-HSA-5687664,5687668,R-HSA-54745
R-HSA-5687675,5687672,R-HSA-53789
R-HSA-174079,188394,R-HSA-187967
R-HSA-3788705,188394,R-HSA-187967
R-HSA-6786095,6786108,R-HSA-451921
R-HSA-114261,204205,R-HSA-141640
R-HSA-114252,204205,R-HSA-141640
R-HSA-114259,266291,R-HSA-57033
R-HSA-8851011,8851010,R-HSA-8851002
R-HSA-8847977,8847978,R-HSA-8847965
R-HSA-6811454,6811498,R-HSA-1268261
R-HSA-8864125,8864122,R-HSA-8864101
R-HSA-8864036,8863802,R-HSA-432933
R-HSA-8864029,8863802,R-HSA-432933
R-HSA-8863804,8863802,R-HSA-432933
R-HSA-8848077,8848075,R-HSA-8848007
R-HSA-2671850,2671840,R-HSA-2586516
R-HSA-2586553,2586554,R-HSA-2586516
R-HSA-2586555,2586550,R-HSA-210620
R-HSA-8848124,8848121,R-HSA-8848007
R-HSA-8875817,8875814,R-HSA-6806977
R-HSA-8857583,8857582,R-HSA-8857570
R-HSA-8857583,8857582,R-HSA-5661173
R-HSA-8857577,8857578,R-HSA-8848000
R-HSA-8849435,8849437,R-HSA-210625
R-HSA-8981353,8981352,R-HSA-186833
R-HSA-8849068,8849067,R-HSA-8848007
R-HSA-8848726,8848725,R-HSA-8848007
R-HSA-8849082,8849079,R-HSA-194866
R-HSA-8848758,8848755,R-HSA-8848007
R-HSA-8848873,8848876,R-HSA-8848007
R-HSA-8848776,8848790,R-HSA-8848007
R-HSA-8849032,8849030,R-HSA-8848937
R-HSA-8849042,8849030,R-HSA-8848937
R-HSA-8849463,8849030,R-HSA-8848937
R-HSA-8848975,8848974,R-HSA-8848937
R-HSA-5665809,5665807,R-HSA-442641
R-HSA-5666160,5666157,R-HSA-174231
R-HSA-4608852,4608812,R-HSA-173533
R-HSA-3322429,3322419,R-HSA-3322366
R-HSA-201677,1505507,R-HSA-2997551
R-HSA-4641159,4641162,R-HSA-4641156
R-HSA-1504190,1504214,R-HSA-180582
R-HSA-3640861,3640855,R-HSA-3640827
R-HSA-3640858,3640833,R-HSA-3640826
R-HSA-4641129,4641128,R-HSA-173537
R-HSA-3364026,3361372,R-HSA-1183219
R-HSA-195275,195306,R-HSA-195284
R-HSA-195300,196224,R-HSA-2997551
R-HSA-195283,196225,R-HSA-2997551
R-HSA-195287,196226,R-HSA-2997551
R-HSA-418856,418851,R-HSA-418807
R-HSA-418850,418851,R-HSA-418807
R-HSA-374701,418882,R-HSA-200917
R-HSA-418872,418875,R-HSA-201621
R-HSA-389350,389351,R-HSA-389323
R-HSA-389348,389351,R-HSA-389323
R-HSA-2029451,2029258,R-HSA-2029115
R-HSA-2029453,2029260,R-HSA-1861712
R-HSA-2029467,2029256,R-HSA-2029141
R-HSA-5671919,5671921,R-HSA-5671920
R-HSA-437936,437943,R-HSA-437953
R-NUL-437938,2272659,R-SSC-437944
R-HSA-428917,453305,R-HSA-391837
R-HSA-416588,416599,R-HSA-195102
R-HSA-416588,416599,R-HSA-416560
R-HSA-373750,419656,R-HSA-372889
R-HSA-5669250,5669259,R-HSA-399819
R-HSA-5218839,5218831,R-HSA-2029141
R-HSA-5218820,5218648,R-HSA-354153
R-HSA-5218830,5218648,R-HSA-354153
R-HSA-5218640,5218648,R-HSA-354153
R-HSA-5218642,5218644,R-HSA-201621
R-HSA-3928651,3928603,R-HSA-3928441
R-HSA-3928648,3928611,R-HSA-3928486
R-HSA-5218850,8951588,R-HSA-442295
R-HSA-5218819,5218825,R-HSA-74693
R-HSA-5357429,5357465,R-HSA-197705
R-NUL-421139,421149,R-HSA-397785
R-HSA-399952,399948,R-HSA-399836
R-HSA-399939,399940,R-HSA-390765
R-HSA-3928592,3928573,R-HSA-3928474
R-HSA-3928610,3928574,R-HSA-201621
R-HSA-399944,399943,R-HSA-399809
R-HSA-399946,399949,R-HSA-200917
R-HSA-399935,399929,R-HSA-399833
R-HSA-419646,419649,R-HSA-419603
R-HSA-416546,416583,R-HSA-3008951
R-HSA-416559,416593,R-HSA-195118
R-HSA-177945,180290,R-HSA-64847
R-HSA-177938,177932,R-HSA-64847
R-HSA-177935,180501,R-HSA-162563
R-HSA-177924,180501,R-HSA-162563
R-HSA-177926,180501,R-HSA-162563
R-HSA-177923,180501,R-HSA-162563
